Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
P09,EB,70,Jan,31,"251,593",0,0,1,1,4,20,105,263,552,"1,207","2,374","7,221","29,535","42,645","79,077","67,696","16,600","3,262","1,030",72,35.2%,8.3%,1500 - 1600,1400 - 1500,79
P09,WB,70,Jan,31,"253,531",0,0,2,56,130,394,787,"1,702","3,877","7,713","12,785","13,934","22,246","31,154","78,496","65,050","12,971","1,798",436,69,31.7%,6.0%,1600 - 1700,1600 - 1700,78
P09,EB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,WB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,EB,70,Mar,26,"215,289",0,0,1,0,2,26,46,85,178,332,726,"3,710","23,542","35,876","63,075","63,964","18,056","4,204","1,466",73,40.7%,11.0%,1600 - 1700,1400 - 1500,79
P09,WB,70,Mar,30,"251,481",0,0,2,4,14,44,128,542,"2,366","6,914","13,701","15,075","22,936","28,288","73,619","68,075","16,414","2,634",725,70,34.9%,7.9%,1600 - 1700,1600 - 1700,79
P10,EB,70,Jan,31,"106,954",0,0,0,0,1,6,30,39,127,391,817,"2,156","15,682","18,867","32,355","30,217","4,949",983,334,72,34.1%,5.9%,1500 - 1600,1500 - 1600,78
P10,WB,70,Jan,31,"109,253",0,0,0,0,0,4,37,45,125,340,859,"2,681","16,538","18,044","30,562","31,473","6,916","1,237",392,72,36.6%,7.8%,1200 - 1300,1300 - 1400,79
P10,EB,70,Feb,29,"122,344",0,0,0,1,4,17,56,84,189,302,423,"1,240","15,453","18,847","37,100","39,470","7,235","1,369",554,73,39.7%,7.5%,1500 - 1600,1500 - 1600,79
P10,WB,70,Feb,29,"123,369",0,0,0,1,0,5,30,56,109,234,507,"1,845","15,952","17,672","35,289","40,353","9,180","1,651",485,73,41.9%,9.2%,1300 - 1400,1300 - 1400,79
P10,EB,70,Mar,30,"115,478",0,0,5,7,70,100,143,186,223,255,382,"1,310","17,747","20,620","31,867","33,304","7,030","1,604",625,72,36.9%,8.0%,1500 - 1600,1400 - 1500,79
P10,WB,70,Mar,30,"115,555",0,0,0,1,1,6,22,59,89,188,349,"1,757","18,312","19,336","29,192","34,502","9,118","1,910",713,72,40.0%,10.2%,1300 - 1400,1400 - 1500,79
P1,NB,60,Jan,31,"2,552,116",4,573,"4,007","7,853","18,138","50,225","97,855","121,937","124,465","146,763","231,702","396,388","624,231","546,489","157,077","20,822","2,695",536,356,57,28.5%,7.1%,1200 - 1300,1200 - 1300,68
P1,SB,60,Jan,30,"2,505,375",7,665,"2,636","5,574","9,002","14,906","24,667","39,017","75,053","143,802","283,050","500,853","690,332","537,230","153,904","20,751","2,904",667,355,60,28.6%,7.1%,1300 - 1400,0400 - 0500,68
P1,NB,60,Feb,29,"2,605,324",3,265,"1,736","5,543","16,607","47,691","101,051","127,660","127,538","136,859","206,269","367,761","626,066","613,568","194,757","27,451","3,489",633,377,58,32.3%,8.7%,1200 - 1300,1200 - 1300,69
P1,SB,60,Feb,29,"2,643,288",11,709,"1,488","2,961","5,820","8,945","13,802","28,429","59,223","108,004","228,709","478,002","762,504","688,518","219,666","30,925","4,232",852,488,61,35.7%,9.7%,1300 - 1400,0400 - 0500,69
P1,NB,60,Mar,30,"2,016,165",7,383,"1,348","2,712","6,566","17,039","36,215","47,260","49,093","59,648","116,219","254,530","513,839","587,974","260,835","52,137","8,068","1,604",688,62,45.2%,16.0%,1200 - 1300,1200 - 1300,70
P1,SB,60,Mar,30,"2,054,051",0,26,143,315,660,"1,419","2,664","5,812","16,765","39,052","107,951","295,493","598,626","650,447","275,170","49,295","7,795","1,611",807,64,48.0%,16.3%,1600 - 1700,1700 - 1800,70
