Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
P04,SB,70,Apr,30,"845,726",0,1,1,1,41,142,215,299,"1,009","1,563","8,496","54,485","146,569","245,380","293,208","84,537","8,609",981,189,69,11.2%,1.2%,1700 - 1800,1800 - 1900,74
P04,NB,70,May,30,"822,671",0,0,23,35,94,119,279,395,536,"1,635","9,612","48,917","167,262","250,147","257,302","76,929","7,836","1,170",380,68,10.5%,1.1%,1800 - 1900,0600 - 0700,74
P04,SB,70,May,30,"852,947",0,3,39,152,340,459,527,528,774,"1,306","7,088","45,505","134,434","232,596","304,430","109,988","12,880","1,476",422,69,14.6%,1.7%,1700 - 1800,1800 - 1900,75
P04,NB,70,Jun,30,"814,271",12,54,52,106,140,112,194,442,610,"1,195","4,677","31,138","136,335","276,106","284,535","69,605","7,136","1,181",641,69,9.6%,1.1%,1800 - 1900,1900 - 2000,74
P04,SB,70,Jun,30,"847,566",0,42,513,879,625,405,262,244,314,759,"3,681","23,846","99,518","192,070","323,393","173,893","23,479","2,755",888,71,23.7%,3.2%,1700 - 1800,1800 - 1900,77
P05,EB,60,Apr,27,"27,392",0,0,1,10,3,9,34,67,102,308,"1,841","7,755","13,089","3,497",507,117,39,7,6,61,15.2%,2.5%,1600 - 1700,0600 - 0700,65
P05,WB,60,Apr,27,"26,382",0,0,1,17,25,38,56,70,164,947,"3,634","9,028","10,691","1,518",160,22,10,1,0,59,6.5%,0.7%,1700 - 1800,0900 - 1000,64
P05,EB,60,May,30,"33,211",0,0,0,1,4,22,18,63,122,334,"1,755","7,463","15,464","6,658","1,043",190,54,12,8,62,24.0%,3.9%,1600 - 1700,1700 - 1800,67
P05,WB,60,May,15,"15,884",0,0,0,6,8,15,10,28,99,500,"2,068","5,133","6,655","1,212",119,20,10,1,0,59,8.6%,0.9%,1700 - 1800,1600 - 1700,64
P05,EB,60,Jun,30,"35,982",0,0,3,7,4,14,28,71,84,263,"1,504","6,589","15,716","9,680","1,540",358,85,22,14,63,32.5%,5.6%,1500 - 1600,1500 - 1600,68
P05,WB,60,Jun,25,"29,588",0,0,0,3,15,33,30,21,147,643,"2,692","6,945","12,382","5,886",672,85,23,3,8,61,22.6%,2.7%,1600 - 1700,1700 - 1800,67
P06,EB,60,Apr,30,"667,248",0,0,4,14,34,80,144,376,"1,464","8,493","51,083","177,374","240,803","135,577","41,960","7,840","1,465",422,115,62,28.1%,7.8%,1700 - 1800,1800 - 1900,68
P06,WB,60,Apr,30,"705,899",0,41,307,322,358,449,606,542,648,"2,044","18,443","105,897","244,026","206,814","100,187","21,675","2,773",580,187,65,47.1%,17.8%,0700 - 0800,0700 - 0800,71
P06,EB,60,May,31,"718,215",0,0,1,2,16,47,126,351,"1,300","8,195","54,622","191,618","262,281","145,292","43,858","8,323","1,596",440,147,62,27.8%,7.6%,1700 - 1800,1700 - 1800,68
P06,WB,60,May,31,"764,022",0,1,11,17,21,19,45,91,228,"1,659","17,290","108,756","262,596","227,145","116,191","25,580","3,454",671,247,65,48.9%,19.1%,0700 - 0800,0600 - 0700,71
P06,EB,60,Jun,30,"707,600",0,22,183,336,364,247,249,469,"1,681","8,993","57,057","192,455","254,046","138,954","42,213","8,097","1,614",470,150,62,27.1%,7.4%,1700 - 1800,1700 - 1800,68
P06,WB,60,Jun,30,"757,176",0,5,46,28,28,56,61,109,430,"2,610","23,442","123,547","266,343","214,847","101,013","20,732","2,951",688,240,65,45.0%,16.6%,0700 - 0800,0600 - 0700,71
P07,EB,55,Apr,30,"104,735",3,5,6,23,79,54,73,126,342,"1,270","6,522","32,597","41,665","17,075","4,000",752,101,28,14,61,60.8%,21.0%,1600 - 1700,1600 - 1700,67
P07,WB,55,Apr,30,"122,991",5,2,3,13,32,63,72,114,584,"3,688","18,986","55,051","35,275","7,411","1,359",270,44,14,5,59,36.1%,7.4%,1600 - 1700,1800 - 1900,64
P07,EB,55,May,31,"123,844",5,7,4,21,79,51,35,192,831,"1,916","8,173","38,387","48,805","20,466","3,905",782,113,55,17,61,59.9%,20.5%,1600 - 1700,1600 - 1700,67
P07,WB,55,May,31,"144,801",10,15,4,16,52,74,91,582,"2,633","6,199","23,102","61,108","40,283","8,878","1,381",298,54,20,1,58,35.2%,7.3%,1600 - 1700,1700 - 1800,64
P07,EB,55,Jun,30,"129,344",3,6,6,34,116,78,161,"2,594","21,418","26,570","26,110","28,014","17,901","5,180",898,188,36,25,6,53,18.7%,4.9%,1700 - 1800,1700 - 1800,61
P07,WB,55,Jun,30,"148,491",10,19,17,42,218,691,"3,107","21,466","57,296","33,306","18,008","9,920","3,508",714,130,22,11,2,4,45,3.0%,0.6%,1800 - 1900,1900 - 2000,53
P08,EB,70,Apr,27,"379,864",0,0,0,0,2,3,12,17,37,78,372,"3,754","35,682","54,698","151,864","113,116","17,206","2,437",586,73,35.1%,5.3%,1700 - 1800,1700 - 1800,78
P08,WB,70,Apr,29,"417,048",0,5,13,28,17,14,37,105,107,179,591,"5,367","41,729","67,566","173,831","108,787","16,025","2,162",485,72,30.6%,4.5%,1600 - 1700,1600 - 1700,78
P08,EB,70,May,31,"450,579",0,0,2,5,10,28,32,44,61,73,317,"3,341","36,059","63,267","169,193","146,974","26,277","3,942",954,73,39.5%,6.9%,1700 - 1800,1700 - 1800,79
P08,WB,70,May,31,"459,782",0,4,13,16,17,21,63,207,244,318,667,"5,480","44,026","75,072","194,023","119,461","17,232","2,345",573,72,30.4%,4.4%,1600 - 1700,1700 - 1800,78
P08,EB,70,Jun,30,"459,216",0,0,6,1,0,5,3,8,15,50,275,"3,024","33,919","63,680","168,948","153,927","29,665","4,502","1,188",74,41.2%,7.7%,1700 - 1800,1700 - 1800,79
P08,WB,70,Jun,30,"466,980",0,0,5,1,0,0,33,172,195,339,749,"5,662","43,588","75,161","195,640","123,319","18,716","2,744",656,72,31.1%,4.7%,1500 - 1600,1500 - 1600,78
P09,EB,70,Apr,23,"238,714",0,1,1,4,3,12,2,24,72,163,486,"3,284","21,632","33,549","75,640","79,881","19,156","3,660","1,144",73,43.5%,10.0%,0600 - 0700,1700 - 1800,79
P09,WB,70,Apr,29,"315,437",0,0,1,1,11,44,90,465,"1,755","5,319","12,419","15,302","24,359","36,457","97,656","98,877","19,384","2,570",727,71,38.5%,7.2%,1600 - 1700,1600 - 1700,79
P09,EB,70,May,31,"332,789",0,0,1,2,3,8,2,9,98,145,524,"4,137","28,386","46,287","105,969","110,318","28,682","6,200","2,018",74,44.2%,11.1%,1600 - 1700,1700 - 1800,79
P09,WB,70,May,31,"346,081",0,7,35,31,27,45,124,450,"1,802","5,280","13,066","16,213","26,686","38,154","104,734","112,748","22,707","3,004",968,72,40.3%,7.7%,1600 - 1700,1600 - 1700,79
P09,EB,70,Jun,30,"345,140",0,0,0,2,5,10,0,17,103,165,623,"4,588","30,735","47,186","109,886","114,709","29,129","6,089","1,893",74,44.0%,10.8%,1500 - 1600,1500 - 1600,79
P09,WB,70,Jun,30,"360,779",0,0,0,0,11,28,60,392,"1,568","4,723","12,412","15,856","26,659","39,935","106,810","120,592","26,842","3,731","1,160",72,42.2%,8.8%,1600 - 1700,1700 - 1800,79
P10,EB,70,Apr,28,"161,053",0,4,7,1,2,0,10,17,68,189,463,"2,479","23,586","29,772","49,231","44,732","8,621","1,441",430,72,34.3%,6.5%,1600 - 1700,1600 - 1700,78
P10,WB,70,Apr,27,"156,994",0,0,6,1,1,1,2,6,14,57,348,"3,755","30,861","31,725","45,399","38,399","5,829",494,96,71,28.5%,4.1%,1300 - 1400,1300 - 1400,78
P10,EB,70,May,31,"198,737",0,1,0,7,5,11,30,33,64,202,872,"4,738","34,422","44,202","61,345","43,525","7,713","1,186",381,71,26.6%,4.7%,1500 - 1600,1600 - 1700,78
P10,WB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,EB,70,Jun,30,"218,574",0,0,0,0,5,6,9,9,27,57,222,"2,146","24,878","33,998","70,681","68,772","14,421","2,593",750,73,39.6%,8.1%,1500 - 1600,1600 - 1700,79
P10,WB,70,Jun,30,"217,226",0,0,0,4,13,15,12,22,78,246,"1,016","5,905","35,953","39,774","63,966","58,853","10,238",940,191,71,32.3%,5.2%,1200 - 1300,1200 - 1300,78
P1,NB,60,Apr,27,"2,586,266",20,"1,051","4,777","12,376","28,478","67,048","128,662","154,293","142,713","133,463","185,515","330,665","567,542","614,887","185,788","24,824","3,286",588,290,57,32.1%,8.3%,1000 - 1100,1900 - 2000,69
P1,SB,60,Apr,30,"2,943,208",0,61,155,"1,743","8,796","17,622","32,031","54,849","95,920","151,008","295,778","588,763","914,541","632,790","129,247","15,828","2,625",899,552,60,26.6%,5.1%,1800 - 1900,0400 - 0500,68
P1,NB,60,May,31,"2,964,915",13,906,"3,388","10,369","34,634","88,623","161,274","189,121","170,778","149,147","201,385","363,401","626,537","700,286","226,358","33,026","4,486",849,334,57,32.6%,8.9%,2000 - 2100,2000 - 2100,69
P1,SB,60,May,30,"2,931,577",0,399,913,"1,870","7,092","17,081","31,540","57,857","102,661","152,225","278,106","549,856","878,208","670,234","158,145","20,894","3,259",783,454,60,29.1%,6.3%,1900 - 2000,1900 - 2000,68
P1,NB,60,Jun,30,"2,915,676",53,"2,712","7,490","15,413","38,741","89,246","160,049","187,724","168,739","144,057","190,844","349,679","616,936","686,065","219,602","32,606","4,491",861,368,56,32.4%,8.8%,2000 - 2100,2000 - 2100,69
P1,SB,60,Jun,30,"2,993,854",0,556,"1,469","3,460","11,567","27,331","44,732","67,363","103,784","142,142","238,803","492,655","851,182","765,747","207,215","29,884","4,495",942,527,60,33.7%,8.1%,1900 - 2000,1900 - 2000,69
P11,NB,60,Apr,26,"61,185",2,1,2,0,1,3,11,25,88,308,795,"3,747","19,822","26,507","7,248","1,966",479,130,50,66,59.5%,16.1%,1600 - 1700,1600 - 1700,70
P11,SB,60,Apr,26,"58,606",2,2,1,3,3,4,13,16,26,94,558,"4,073","24,523","23,266","4,783",908,225,83,23,65,50.0%,10.3%,0900 - 1000,0700 - 0800,69
P11,NB,60,May,30,"79,270",2,3,3,1,2,5,2,20,92,356,"1,011","4,932","24,570","33,724","10,758","2,727",733,244,85,66,60.9%,18.4%,1600 - 1700,1600 - 1700,71
P11,SB,60,May,30,"77,978",2,5,7,2,1,4,1,7,32,110,555,"5,243","30,898","31,045","7,820","1,678",419,107,42,66,52.7%,12.9%,1100 - 1200,0500 - 0600,70
P11,NB,60,Jun,30,"83,820",1,20,7,6,5,4,11,29,87,295,979,"5,360","26,080","34,921","11,905","2,961",748,278,123,66,60.8%,19.1%,1600 - 1700,1600 - 1700,71
